,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,1,91,0,0,0,91,0,0,0
1,2,90,0,0,0,90,0,0,0
2,3,97,0,0,0,97,0,0,0
3,4,98,0,0,0,98,0,0,0
4,5,95,0,0,0,95,0,0,0
5,6,87,0,0,0,87,0,0,0
6,7,84,1,0,0,84,2,0,0
7,8,87,1,0,0,87,2,0,0
8,9,87,3,0,0,87,6,0,0
9,10,96,3,0,3,96,6,0,13
10,11,96,2,2,5,96,4,6,22
11,12,90,5,0,8,90,10,0,38
12,13,71,5,3,9,71,10,9,55
13,14,62,5,3,12,62,10,9,62
14,15,61,3,1,12,61,6,3,87
15,16,38,4,0,9,38,8,0,97
