,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,1,99,0,0,0,99,0,0,0
1,2,99,1,0,0,99,2,0,0
2,3,105,0,0,0,105,0,0,0
3,4,110,1,0,0,110,0,0,0
4,5,101,4,1,0,101,8,3,0
5,6,90,5,3,1,90,10,9,4
6,7,98,5,1,3,98,10,3,12
7,8,98,5,1,3,98,10,3,15
8,9,84,5,1,5,84,10,3,26
9,10,76,7,3,5,76,14,9,24
10,11,76,5,5,5,76,10,15,26
11,12,69,5,5,6,69,10,15,30
12,13,67,3,3,7,67,6,9,34
13,14,53,4,2,12,53,8,6,61
14,15,50,5,2,11,50,10,6,68
15,16,62,2,3,10,62,4,6,64
