,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,1,194,0,0,0,194,0,0,0
1,2,193,0,0,0,193,0,0,0
2,3,206,0,0,0,206,0,0,0
3,4,202,0,0,0,202,0,0,0
4,5,197,1,0,0,197,2,0,0
5,6,196,1,0,0,196,2,0,0
6,7,180,3,0,0,180,6,0,0
7,8,198,5,0,0,198,10,0,0
8,9,180,9,1,1,180,18,3,5
9,10,160,7,4,5,160,14,12,21
10,11,154,9,4,5,154,18,12,27
11,12,137,7,2,5,137,14,6,49
12,13,124,3,1,9,124,6,3,71
13,14,102,4,0,11,102,8,0,105
14,15,87,3,1,10,87,6,3,110
15,16,84,2,0,12,84,4,0,119
