,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,1,190,0,0,0,190,0,0,0
1,2,199,1,0,0,199,2,0,0
2,3,201,1,0,0,201,2,0,0
3,4,216,0,0,0,216,0,0,0
4,5,204,0,0,0,204,0,0,0
5,6,202,0,0,0,202,0,0,0
6,7,182,2,0,0,182,4,0,0
7,8,180,3,0,1,180,9,0,4
8,9,161,4,1,1,161,8,3,5
9,10,126,2,1,7,126,4,3,40
10,11,111,1,1,7,111,2,3,52
11,12,86,3,1,4,86,6,3,59
12,13,86,4,2,3,86,8,6,55
13,14,69,4,2,3,69,8,6,61
14,15,62,2,2,4,62,4,6,80
15,16,58,4,1,7,58,8,3,114
