,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,1,183,2,0,0,183,4,0,0
1,2,206,3,0,0,206,6,0,0
2,3,215,2,0,0,215,4,0,0
3,4,231,2,0,0,231,4,0,0
4,5,243,2,0,0,243,4,0,0
5,6,236,5,0,0,236,10,0,0
6,7,237,3,1,0,237,6,3,0
7,8,221,5,1,1,221,10,3,7
8,9,202,8,3,3,202,16,9,19
9,10,185,6,5,5,185,12,15,31
10,11,154,5,1,6,154,10,3,62
11,12,123,8,1,10,123,16,3,85
12,13,100,5,2,7,85,10,6,79
13,14,105,5,2,8,105,10,6,77
14,15,88,6,0,10,88,12,0,95
15,16,77,8,0,10,77,16,0,101
